delta L,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15
0.448261,27.645902,22.664134,24.065677,25.696951,23.890251,24.128916,23.680598,24.55763,23.595663,24.934653,24.68627,24.433832,30.102091,24.436267,19.015937,18.602769
0.448261,27.450905,23.027969,24.084993,25.706676,23.89921,24.11213,23.655076,24.56043,23.598859,24.948854,24.705801,24.418409,30.16681,24.436944,19.015742,18.600478
0.703363,28.032298,23.27819,24.156425,25.81916,23.912569,24.110622,23.64142,24.561312,23.597357,24.956472,24.707876,24.424284,30.211648,24.437627,19.005368,18.598956
0.703363,28.115325,23.246637,24.190638,25.752726,23.931729,24.105021,23.667259,24.564115,23.604053,24.964464,24.716494,24.442697,30.281489,24.440058,19.003651,18.581709
0.703363,27.943822,23.20606,24.303504,25.758665,23.961158,24.138252,23.708648,24.569355,23.609883,24.979506,24.705933,24.45257,30.330521,24.450099,19.001551,18.567243
0.703363,27.942593,22.769564,24.257902,25.818728,23.98183,24.146552,23.710604,24.565737,23.609121,24.987974,24.70559,24.422832,30.361372,24.437287,18.996389,18.556634
0.694514,27.86582,22.923935,24.241831,25.887457,24.014116,24.128948,23.673614,24.564773,23.604991,24.99846,24.714409,24.422851,30.412292,24.43894,18.988919,18.558297
0.694514,27.960675,23.274974,24.285045,25.916282,24.011685,24.106683,23.648136,24.561192,23.603854,25.012655,24.727652,24.437078,30.462645,24.440307,18.992057,18.549684
0.694514,28.401307,23.410498,24.336603,26.014101,24.019108,24.109391,23.650699,24.573531,23.60681,25.035146,24.728956,24.467697,30.504822,24.455899,18.991931,18.576236
0.694514,28.413224,23.420947,24.408145,25.932905,24.041226,24.118469,23.685538,24.581725,23.607679,25.048022,24.721092,24.476578,30.545927,24.454476,18.991086,18.582479
0.949617,28.223478,23.21862,24.456721,25.943362,24.058109,24.157781,23.722947,24.600086,23.607506,25.069199,24.707171,24.479591,30.573202,24.472421,18.982233,18.617173
0.949617,28.292719,22.925892,24.427859,26.02785,24.082136,24.158067,23.712559,24.610898,23.607005,25.080328,24.707719,24.455942,30.604802,24.468599,18.977662,18.633415
0.949617,28.067074,23.257376,24.431837,26.050088,24.097338,24.141206,23.679675,24.622116,23.606023,25.102639,24.718056,24.442763,30.653196,24.463803,18.987851,18.658802
0.949617,28.541504,23.572844,24.506051,26.145056,24.096506,24.136243,23.671923,24.616355,23.605362,25.119282,24.730563,24.46997,30.713371,24.472771,18.996735,18.639966
0.685665,28.719089,23.614345,24.53447,26.144227,24.109119,24.130147,23.678372,24.61189,23.608,25.130981,24.728579,24.49475,30.768379,24.470028,18.993777,18.623066
0.685665,28.644053,23.627843,24.654895,26.112794,24.131297,24.151351,23.714007,24.625995,23.618083,25.143833,24.727656,24.483722,30.814526,24.470302,18.986565,18.641368
0.940767,28.532727,23.24846,24.632784,26.149316,24.155362,24.173751,23.73234,24.643994,23.623929,25.163937,24.72593,24.448285,30.851795,24.470022,18.972179,18.672699
0.940767,28.581297,23.222732,24.616611,26.232701,24.185537,24.161367,23.710585,24.646961,23.631276,25.180004,24.748081,24.443812,30.900584,24.459543,18.976932,18.674132
0.940767,28.436964,23.579913,24.644211,26.247724,24.186132,24.138747,23.666683,24.636117,23.633644,25.193548,24.768657,24.443103,30.95126,24.450411,18.967067,18.656601
0.940767,29.00417,23.790196,24.708905,26.359165,24.181682,24.142006,23.647541,24.636861,23.633039,25.209461,24.788462,24.459698,30.98206,24.455997,18.95054,18.664114
0.940767,29.061505,23.759343,24.745398,26.269106,24.203448,24.14739,23.687255,24.656837,23.640884,25.222471,24.790062,24.479925,31.039701,24.473977,18.962333,18.668593
0.940767,28.872215,23.689624,24.840116,26.260927,24.217098,24.182439,23.733531,24.681531,23.639234,25.241054,24.772975,24.473377,31.072266,24.477214,18.962295,18.710135
0.676815,28.891423,23.266093,24.800787,26.316129,24.242121,24.190553,23.733814,24.682807,23.642556,25.248027,24.7721,24.441148,31.088058,24.469591,18.959704,18.711169
0.931918,28.755496,23.480838,24.785614,26.371577,24.26812,24.170307,23.696333,24.697653,23.640598,25.261956,24.79188,24.435038,31.130943,24.472538,18.958519,18.732806
0.931918,28.944578,23.829024,24.846434,26.395589,24.26619,24.164588,23.672848,24.709753,23.640601,25.274288,24.814252,24.450816,31.181835,24.478181,18.960519,18.74477
0.931918,29.306629,23.946806,24.884207,26.459276,24.271868,24.163017,23.682065,24.721939,23.630508,25.297782,24.801817,24.458763,31.231831,24.476077,18.967275,18.765961
0.931918,29.302582,23.95282,24.967732,26.383425,24.300296,24.179,23.732237,24.733106,23.630219,25.309831,24.802337,24.461061,31.279711,24.477393,18.980252,18.75925
0.931918,29.098535,23.716074,24.99953,26.403334,24.318016,24.221037,23.764463,24.750192,23.638385,25.327568,24.792066,24.441416,31.31637,24.484365,18.97393,18.787991
1.18702,29.17915,23.46717,24.985494,26.48497,24.351421,24.222205,23.760133,24.7597,23.650706,25.34522,24.81754,24.411493,31.360509,24.472308,18.985342,18.818969
1.18702,28.934782,23.803854,24.977345,26.493441,24.363915,24.201143,23.720724,24.768749,23.649245,25.364027,24.828164,24.39107,31.40444,24.462087,18.977058,18.835451
1.18702,29.445518,24.05949,25.038528,26.568973,24.366224,24.198372,23.716627,24.783467,23.657676,25.385257,24.844533,24.39109,31.456778,24.45333,18.986439,18.830012
1.18702,29.583845,24.064905,25.059664,26.532982,24.383427,24.20761,23.734469,24.793365,23.658944,25.399521,24.845106,24.416146,31.510906,24.456246,18.99333,18.813669
1.18702,29.467293,24.055513,25.160742,26.500934,24.407097,24.247049,23.789217,24.8038,23.658264,25.411633,24.826117,24.40388,31.539341,24.470888,19.005472,18.834753
1.18702,29.368212,23.720829,25.11939,26.536073,24.422849,24.283186,23.823641,24.82121,23.654411,25.424118,24.824457,24.402281,31.57726,24.487177,19.0065,18.841958
1.178171,29.372778,23.739805,25.087877,26.601572,24.457244,24.272605,23.80288,24.825513,23.645845,25.429081,24.822768,24.389456,31.615659,24.485495,19.01645,18.848991
1.178171,29.265333,24.068508,25.106642,26.605833,24.454078,24.2608,23.779675,24.846315,23.637232,25.450897,24.836441,24.396687,31.650154,24.488792,19.027277,18.869368
1.178171,29.798246,24.217614,25.151033,26.706654,24.461981,24.252723,23.778819,24.853037,23.629019,25.470644,24.831197,24.421016,31.697346,24.488663,19.040802,18.861119
1.178171,29.829404,24.204007,25.187245,26.616059,24.476183,24.253596,23.81672,24.866769,23.626142,25.490879,24.822951,24.455702,31.727427,24.50999,19.044172,18.852511
1.178171,29.613477,24.11106,25.265919,26.614773,24.487201,24.286649,23.852952,24.88303,23.626054,25.503899,24.807515,24.450766,31.754015,24.523543,19.031757,18.873716
1.433274,29.640733,23.788707,25.209592,26.670422,24.510157,24.290897,23.85778,24.888942,23.625641,25.517508,24.807669,24.411096,31.787597,24.513564,19.052657,18.879126
1.433274,29.461613,24.033821,25.190615,26.709591,24.535793,24.273037,23.829656,24.902164,23.623901,25.529596,24.819994,24.412289,31.850473,24.525842,19.055053,18.895847
1.433274,29.749633,24.297793,25.240294,26.739397,24.521436,24.255797,23.813653,24.910438,23.636521,25.549451,24.838753,24.397181,31.901891,24.515926,19.064736,18.895737
1.433274,30.023042,24.344201,25.258689,26.762352,24.52142,24.254553,23.814654,24.912961,23.638803,25.567608,24.840275,24.407655,31.93164,24.515318,19.065028,18.901355
1.169322,29.991029,24.336385,25.341693,26.694436,24.535431,24.270423,23.86324,24.92624,23.643355,25.581705,24.830797,24.402218,31.961928,24.513316,19.072454,18.909353
1.424424,29.817122,24.082334,25.330355,26.709663,24.550452,24.311107,23.894325,24.931024,23.662165,25.594971,24.829906,24.401623,31.999208,24.531623,19.076576,18.922349
1.424424,29.875494,23.960825,25.298745,26.784894,24.577698,24.313094,23.882736,24.93509,23.668225,25.590933,24.839144,24.370098,32.051613,24.525033,19.080726,18.933597
1.424424,29.64247,24.256033,25.286065,26.791459,24.584247,24.305832,23.84218,24.942643,23.658211,25.599311,24.846568,24.372113,32.094771,24.540966,19.075309,18.949067
1.424424,30.194623,24.453284,25.339371,26.878381,24.586442,24.300378,23.841682,24.946171,23.662338,25.607157,24.86449,24.397304,32.147174,24.550684,19.085385,18.950576
1.424424,30.270396,24.422673,25.349377,26.813939,24.605342,24.305902,23.857909,24.957037,23.65935,25.62608,24.857062,24.438208,32.17594,24.570068,19.090104,18.961721
1.679527,30.078431,24.390826,25.446809,26.794185,24.623866,24.335612,23.902327,24.961267,23.658327,25.636187,24.847972,24.420112,32.19365,24.57305,19.086887,18.958115
1.679527,30.046674,24.043299,25.377705,26.848114,24.634535,24.349804,23.909787,24.971138,23.664233,25.652282,24.840791,24.414634,32.21905,24.578353,19.085828,18.946895
1.679527,29.947796,24.190103,25.347994,26.89574,24.656106,24.340011,23.880378,24.978543,23.67573,25.666212,24.856662,24.430618,32.274851,24.584764,19.084794,18.924848
1.679527,30.031236,24.477194,25.376961,26.911054,24.647153,24.330873,23.857538,24.984106,23.682674,25.67969,24.864883,24.422432,32.311005,24.586002,19.083744,18.919664
1.679527,30.43173,24.556601,25.413834,26.976151,24.653327,24.320311,23.859789,24.987539,23.69067,25.688588,24.872339,24.46352,32.365845,24.590921,19.088588,18.893184
1.679527,30.418308,24.552947,25.471292,26.890679,24.665168,24.334667,23.89349,24.994292,23.696702,25.70404,24.865718,24.471406,32.395478,24.598031,19.078996,18.886765
1.670678,30.202431,24.353822,25.502223,26.891529,24.687312,24.364059,23.925438,24.999917,23.706455,25.717678,24.867822,24.454468,32.423947,24.604216,19.075183,18.893892
1.670678,30.254074,24.129175,25.450905,26.967389,24.706051,24.361635,23.916636,24.998761,23.717511,25.731581,24.87471,24.432724,32.476252,24.603787,19.075824,18.897256
1.670678,29.99979,24.402658,25.434359,26.975442,24.717549,24.347153,23.881351,25.000991,23.721222,25.743846,24.890576,24.432576,32.531398,24.602411,19.073658,18.895577
1.670678,30.502984,24.627418,25.485598,27.047679,24.716286,24.339028,23.863199,24.999356,23.729196,25.745043,24.905348,24.446031,32.587745,24.604911,19.080858,18.874127
1.670678,30.621477,24.60735,25.499646,27.003337,24.724684,24.336733,23.868937,25.00393,23.73332,25.761255,24.905865,24.463044,32.608636,24.609903,19.072457,18.886935
1.670678,30.476638,24.58955,25.609424,26.974553,24.745757,24.365143,23.908115,25.010749,23.75241,25.77581,24.899181,24.479289,32.632473,24.622965,19.074658,18.882999
1.92578,30.394303,24.256576,25.565215,27.011081,24.755447,24.383608,23.92438,25.014733,23.763139,25.790276,24.897426,24.471673,32.651287,24.626986,19.065937,18.888434
1.92578,30.355679,24.32386,25.531627,27.072218,24.773122,24.359062,23.889459,25.018611,23.773465,25.807424,24.901953,24.456722,32.682419,24.609279,19.073803,18.882395
1.92578,30.28275,24.62655,25.562342,27.074957,24.777346,24.350034,23.856287,25.028614,23.764257,25.829561,24.921481,24.464278,32.731095,24.6092,19.069203,18.889481
1.92578,30.76119,24.74024,25.60864,27.175475,24.797686,24.364717,23.852156,25.022822,23.757331,25.829706,24.934112,24.515173,32.787407,24.64673,19.068288,18.874366
1.92578,30.75337,24.736303,25.653524,27.091126,24.817242,24.371629,23.873891,25.029783,23.762762,25.843719,24.926404,24.542632,32.818462,24.65739,19.058888,18.886017
1.92578,30.515555,24.59416,25.718119,27.089298,24.842975,24.401724,23.908663,25.025065,23.764106,25.852725,24.924108,24.521963,32.852137,24.648355,19.048734,18.885014
2.180883,30.55068,24.315059,25.681716,27.176603,24.864402,24.41416,23.894328,25.023049,23.768642,25.853496,24.938657,24.517269,32.910656,24.663577,19.042657,18.904838
2.180883,30.3183,24.590776,25.675613,27.198209,24.888624,24.386663,23.857578,25.020034,23.775436,25.872027,24.972694,24.50523,32.978801,24.656668,19.040355,18.911163
2.180883,30.733444,24.820359,25.727861,27.270155,24.888932,24.399416,23.840952,25.011621,23.771709,25.866014,24.985558,24.514313,33.02278,24.67053,19.039991,18.921742
2.180883,30.893536,24.817997,25.746633,27.258232,24.909509,24.411684,23.859506,25.009697,23.762037,25.870052,24.981561,24.524303,33.069743,24.694592,19.048001,18.925367
